
创1:1 【太初天主开始创造天地】太初，天主创造天地。
创1:2 地是空虚混沌，渊面黑暗，天主的灵运行在水面上。
创1:3 【第一日：造光明】天主说：当有光，就有了光。
创1:4 天主看光是好的，天主就将光暗分开了。
创1:5 天主称光为昼，称暗为夜，有晚有早，就是一日。
创1:6 【第二日：造天空】¶天主说：水中当有空气，使上下的水分开。
创1:7 天主就造出空气，将空气以上的水、空气以下的水分开了，有如此了。
创1:8 天主称空气为天，有晚有早，是第二日。
创1:9 【第三日：使陆地现出来，造出植物】¶天主说：天下的水当聚在一处，使陆地现出来，有如此了。
创1:10 天主称陆地为地，称水聚处为海，天主看着是好。
创1:11 天主说：地当发生结子的青草，菜蔬和结果子的树木，果子都包核，各从其类在地上，有如此了。
创1:12 于是地发生了结子的青草菜蔬各从其类，和结果子的树木，果子都包核，各从其类，天主看着是好。
创1:13 有晚有早，是第三日。
创1:14 【第四日：造出天上三种发光体】¶天主说：天上当有发光的体，可以分昼夜，为记号，定四时、日期、年岁。
创1:15 并发光在天，普照在地上，有如此了。
创1:16 于是天主造了两个大光，大的管昼，小的管夜，又造众星。
创1:17 天主将这光摆列在天上，普照在地上。
创1:18 管理昼夜，分别明暗，天主看着是好。
创1:19 有晚有早，是第四日。
创1:20 【第五日：造出水中的动物与飞鸟】¶天主说：水当滋生有生命的动物，又有雀鸟飞在地上，在空中。
创1:21 天主就造出大鱼，和水中所滋生的诸般有生命的动物，各从其类，和诸般飞鸟，各从其类，天主看着是好。
创1:22 就许福与它们说：滋生众多，充满了海，雀鸟也多生在地。
创1:23 有晚有早，是第五日。
创1:24 【第六日：造出陆地的动物，昆虫与人类】¶天主说：地当生出活物来，各从其类，牲畜、昆虫、野兽，各从其类，有如此了。
创1:25 天主造出野兽，各从其类，牲畜，各从其类，地上的昆虫，各从其类，天主看着是好。
创1:26 天主说：我们当按自己的形像造人，使他管辖海鱼、飞鸟、牲畜和凡动在地上的昆虫，并管辖全地。
创1:27 天主就按自己的形像造人，造出来就像天主的形像，造男也造女。
创1:28 天主许福与他们，向他们说：生养众多，遍满了地，地都属你们管，并要管辖海里鱼、空中鸟，和地上各样活物。
创1:29 【定出人与动物的食物】天主说：遍地结子的菜蔬和一切树上所结有核的果子，我全赐你们吃。
创1:30 至于那地上走兽空中飞鸟和各样动在地上有生命的物，我将青草赐它吃，有如此了。
创1:31 天主看着所造的都甚好，有晚有早，是第六日。
创2:1 【第七日：造物完成后安息，设定了安息日】天地万物都已造成。
创2:2 到第七日，天主造物的工已完成，就在第七日安息了。
创2:3 因为这日天主创造万物的工已完成安息，就降福与这日，定为圣日。
创2:4 这就是创造天地的来历。
创2:5 【天主用泥土造人的过程】耶和华天主创造天地的时候，地上未曾长草木，未曾生菜蔬，因为耶和华天主还没有降雨在地上，也没有人耕地。
创2:6 有雾从地里出来，滋润遍地。
创2:7 耶和华天主用土造人，将生气吹在他鼻内，就成了有灵魂的活人。(“就成了有灵魂的活人”或作“人就成了生灵”。)
创2:8 【设立了伊甸园和其中的树木】耶和华天主在东方的[伊甸]立了一园，将所造的人安在里面。
创2:9 耶和华天主使各样树从地而生，又好看，又结好吃的果子，园当中有生命的树，还有分别善恶的树。
创2:10 【从伊甸流出四道河流滋润伊甸园】有河从[伊甸]流出来，滋润那园，从那里分为四道。
创2:11 第一名[比逊]，环流[哈腓拉]地的四面，那地出金子。
创2:12 那地的金子是好的，也出比多拉，和朔杭宝石。(“比多拉”有译乳香，有译珍珠。“朔杭宝石”有译红玛瑙，有译碧玉。)
创2:13 第二道河名[基训]，环流[古实]地的四面。
创2:14 第三道河名[希底结]，流在[亚述]的东边。第四道河就是[伯拉]河。
创2:15 【给人工作，禁止他吃分别善恶树上的果子】耶和华天主将人安在[伊甸]园，使他栽培看守。
创2:16 耶和华天主吩咐人说：园中各样树上的果子，你可以随意吃。
创2:17 只是分别善恶树上的果子，你不可吃，吃的日子你必死。
创2:18 【亚当为一切活的动物取名】¶耶和华天主说：人独居不好，我要为他造一个配偶帮助他。
创2:19 耶和华天主又用土造成各种田野的走兽，空中的飞鸟，带到{亚当}面前，看他如何起名。各类活物的名，都依着{亚当}所起的为定。
创2:20 {亚当}与牲畜、飞鸟、野兽起了名，惟{亚当}未得帮助他的配偶。
创2:21 【女人由男人造出，讲述夫妻的伦理】耶和华天主就使{亚当}沉沉地睡着，便取下他的一条肋骨，补上肉。
创2:22 耶和华天主就将从{亚当}身上所取的这条肋骨，造成一个女人，领她到{亚当}面前来。
创2:23 {亚当}说：这就是我骨中的骨，我肉中的肉，她是从男人身上取出来的，可以称她为女人。(按希伯来原文男曰“伊施”，女曰“伊沙”，二语音相近，足示女由男取名之义。)
创2:24 因此人离开父母，和妻子连合成为一体。
创2:25 夫妻二人赤身，并不羞愧。
创3:1 【魔鬼藉蛇来诱惑女人】耶和华天主所造的诸活物，最狡猾的是蛇。蛇对女人说：天主曾说不许你们吃园中所有树上的果子么？
创3:2 女人对蛇说：园中树上的果子，我们可以吃得。
创3:3 只是园当中那一棵树上的果子，天主说：你们不可吃，不可摸，恐怕你们死。
创3:4 蛇对女人说：你们未必死。
创3:5 天主知道你们吃的日子，你们的眼睛就明亮，你们便如神能分别善恶，/所以不许你们吃/。
创3:6 【人违背天主的命令，随即陷入罪中】于是女人见那棵树/上的果子/好吃好看，又能加增智慧可爱，就摘下那果子来吃了，并且给她丈夫，她丈夫也吃了。
创3:7 二人眼睛就明亮了，这才觉得自己是赤身，就拿无花果树的叶子为自己编作裙子。
创3:8 【天主严厉审讯犯罪的人】日头平西，起了凉风，耶和华天主在园中行走，{亚当}和他妻听见耶和华天主的声音，就藏在园的树木中，躲避耶和华天主的面。
创3:9 耶和华天主呼唤{亚当}说：你在哪里？
创3:10 说：我在园中听见你的声音，我因赤身惧怕，就藏起来。
创3:11 说：谁告诉你是赤身？莫不是你吃了我禁止你吃的那树上的果子么？
创3:12 {亚当}说：你所赐我的女人，她将那树上的果子给我，我便吃了。
创3:13 耶和华天主对女人说：你做的是什么事？女人说：是蛇引诱我，我所以吃了。
创3:14 【蛇受到咒诅】耶和华天主对蛇说：你既做了这事，就必比一切牲畜野兽加倍受咒诅。你必用肚子行走，终身吃土。(“就必比一切牲畜野兽加倍受咒诅”或作“必在牲畜野兽中见诅”。)
创3:15 【预言女人的后裔会败坏魔鬼的权势】我又使你和女人彼此为仇，你的后裔和女人的后裔也彼此为仇。女人的后裔将伤损你的头，你将伤损他的脚跟。
创3:16 【人因犯罪带来的刑罚】又对女人说：我必使你怀胎多受苦楚，产子必艰难。你必恋慕你丈夫，你丈夫必管辖你。
创3:17 又对{亚当}说：你既听从你妻子的话，吃了我所禁止你吃的那树上的果子，地必因为你受咒诅，你必终身劳苦才得吃地里所长的。
创3:18 地必与你生出荆棘来，你必吃田间的菜蔬。
创3:19 必汗流满面才得糊口，直到归了你所从出的土。你本是尘土，仍必归到尘土。
创3:20 {亚当}与他妻起名叫{夏娃}，因为她是一切生民的母。(夏娃译即“生”之义。)
创3:21 【用皮衣给人穿，预表基督的代赎与遮盖】耶和华天主为{亚当}和他妻用皮子做衣服与他们穿。
创3:22 【将亚当夫妇逐出伊甸园】耶和华天主说：人已能分别善恶，类乎我们，恐怕他伸手又摘生命树的果子吃了就能永生了。
创3:23 于是耶和华天主打发人出[伊甸]园去，耕种他所从出的地。
创3:24 将人逐出去了，就在[伊甸]园的东边，安设基路伯和自转动的利剑，把守生命树的道路。
创4:1 【该隐，亚伯的工作及为人】{亚当}和他妻{夏娃}同室，怀孕生{该隐}，说：主使我得了男子。(“该隐”译即“得”之义。)
创4:2 又生{该隐}的兄弟{亚伯}。{亚伯}做牧羊的人，{该隐}做农人。
创4:3 有一日{该隐}将土产奉了来供献主。
创4:4 {亚伯}也奉上头生的羊和羊的脂油。主看顾{亚伯}和他所献的物，
创4:5 不看顾{该隐}和他所献的物，{该隐}就大大地不悦，变了脸色。
创4:6 主对{该隐}说：你为什么不悦？为什么变了脸色？
创4:7 你若行善，岂不蒙悦纳？若不行善，罪孽就伏门前，必系恋你，你却还可以制伏它。
创4:8 【该隐因为妒忌杀了他的弟弟】后来{该隐}和兄弟{亚伯}说话，二人在田间的时候，{该隐}起来攻击他兄弟{亚伯}，将他杀了。
创4:9 【该隐因杀人的罪受到天主的审问和咒诅】主对{该隐}说：你兄弟{亚伯}在哪里？说：不知道，我岂是看守我兄弟的呢？
创4:10 说：你做了什么了？你兄弟的血有声音，从地里向我哀告。
创4:11 地开口，从你手里接受你兄弟的血。你必受咒诅，不能得地的益处。
创4:12 你种地，地不再与你效力。你必飘流在地上。
创4:13 【天主阻止人再杀该隐】{该隐}对主说：我的罪太重，承当不起。
创4:14 主如今驱逐我离开这地，不容我见主的面。我飘流在地上，凡遇见我的必杀我。(“不容我见主的面”原文作“我藏匿离开主面”。)
创4:15 主对{该隐}说：凡杀{该隐}的，必要受罚七倍。主就赐{该隐}一个记号，免得凡遇见他的杀他。
创4:16 于是{该隐}离开主的面前，去住在[伊甸]东边[挪得]地。
创4:17 【该隐建立了一座城叫做以诺】{该隐}与他妻同室，他妻怀孕，生{以诺}。当时{该隐}建立一座城，就按他儿子的名名那城，叫[以诺]。
创4:18 {以诺}生{以拉}，{以拉}生{米户雅利}，{米户雅利}生{玛土撒利}，{玛土撒利}生{拉麦}。
创4:19 【拉麦的罪恶生活】{拉麦}娶两个妻，一名{亚大}，一名{洗拉}。
创4:20 {亚大}生{雅八}，{雅八}就是住帐幕放牲畜的人的祖宗。
创4:21 {雅八}的兄弟名{犹八}，是凡弹琴吹箫的人的祖宗。
创4:22 {洗拉}生{土八该隐}，是铜匠、铁匠的祖宗，{土八该隐}的妹子名{拿玛}。
创4:23 {拉麦}对他二妻说：{亚大}、{洗拉}闻我声，{拉麦}妻听我话，壮士伤我我将他杀，幼童损我我将他害。(“壮士伤我，我将他杀，幼童损我，我将他害”或作“我杀壮士却伤自己，我害幼童却损本身”。)
创4:24 若杀{该隐}，受罚七倍。若杀{拉麦}，必受罚七十七倍。
创4:25 【亚当生塞特代替亚伯，塞特生了以挪士】¶{亚当}又与他妻同室，他妻生子，起名叫{塞特}，意思说，天主又与我立了一子，替了{该隐}所杀的{亚伯}。(塞特译即“立”之义。)
创4:26 {塞特}也生了一子，起名叫{以挪士}。那时人才祷告耶和华的名。(“人才祷告主的名”或作“人才称天主为耶和华”。)
创5:1 【天主按自己形象造人，亚当的儿子形状像自己】{亚当}的后裔，记在下面。当日天主造人，是按自己的形像造的。
创5:2 并且造男也造女，造他们的日子，许福与他们，称他们为人。
创5:3 ¶{亚当}一百三十岁生了一子，形状像自己，与他起名叫{塞特}。
创5:4 【记录亚当到挪亚的世代（代上1:1-4）】{亚当}生{塞特}之后，在世八百年，又生子女。
创5:5 {亚当}享寿九百三十岁就死了。
创5:6 {塞特}一百零五岁生{以挪士}。
创5:7 {塞特}生{以挪士}之后，在世八百零七年，又生子女。
创5:8 {塞特}享寿九百一十二岁就死了。
创5:9 {以挪士}九十岁生{该南}。
创5:10 {以挪士}生{该南}之后，在世八百一十五年，又生子女。
创5:11 {以挪士}享寿九百零五岁就死了。
创5:12 {该南}七十岁生{玛勒列}。
创5:13 {该南}生{玛勒列}之后，在世八百四十年，又生子女。
创5:14 {该南}享寿九百零十岁就死了。
创5:15 {玛勒列}六十五岁生{雅列}。
创5:16 {玛勒列}生{雅列}之后，在世八百三十年，又生子女。
创5:17 {玛勒列}享寿八百九十五岁就死了。
创5:18 {雅列}一百六十二岁生{以诺}。
创5:19 {雅列}生{以诺}之后，在世八百年，又生子女。
创5:20 {雅列}享寿九百六十二岁就死了。
创5:21 【以诺事奉天主三百年被天主接去】{以诺}六十五岁生{玛土撒拉}。
创5:22 {以诺}生{玛土撒拉}之后，事奉天主三百年，又生子女。(“事奉天主”原文作“与天主偕行”，下同。)
创5:23 {以诺}享寿三百六十五岁。
创5:24 {以诺}事奉天主，天主接了他去，他就不在世了。
创5:25 {玛土撒拉}一百八十七岁生{拉麦}。
创5:26 {玛土撒拉}生{拉麦}之后，在世七百八十二年，又生子女。
创5:27 {玛土撒拉}享寿九百六十九岁就死了。
创5:28 {拉麦}一百八十二岁，生了一子，
